,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Pred,Proba,Decile
20,0,147,1,0,0.31,0,155.1,117,50.1,11.99,10.6,0,0.0023703938,4
21,1,77,1,0,0.0,5,62.4,89,26.0,8.5,5.7,1,0.9956968,9
22,0,130,1,0,0.0,0,183.0,112,38.0,3.65,9.5,0,0.0032654188,4
23,0,111,1,0,0.39,2,110.4,103,34.9,6.87,7.7,0,0.0024574834,4
24,0,132,1,0,0.0,0,81.1,86,35.0,12.26,10.3,0,0.07132799,8
25,0,174,1,0,0.0,3,124.3,76,45.0,13.86,15.5,0,0.0070522325,6
26,0,57,1,1,2.57,0,213.0,115,78.7,9.56,9.5,0,0.0019100887,3
27,0,54,1,0,0.0,3,134.3,73,37.0,7.78,14.7,0,0.00046654753,1
28,0,20,1,0,0.32,0,190.0,109,58.2,12.91,6.3,0,0.0005789577,1
29,0,49,1,0,0.21,1,119.3,117,41.1,10.76,11.1,0,0.0002596227,0
30,0,142,1,0,0.0,2,84.8,95,27.0,6.84,14.2,0,0.00255187,4
31,0,75,1,0,0.0,1,226.1,105,56.0,10.08,10.3,0,0.07119035,8
32,0,172,1,0,0.0,3,212.0,121,39.0,1.56,12.6,0,0.0006165119,1
33,1,12,1,0,0.0,1,249.6,118,64.0,12.62,11.8,1,0.9667126,9
34,0,57,1,1,2.24,0,176.8,94,69.4,9.75,8.3,0,0.00093735306,2
35,0,72,1,1,3.97,3,220.0,80,95.7,10.87,14.7,0,0.007573037,6
36,0,36,1,1,3.92,0,146.3,128,78.2,8.13,14.5,0,0.00030910686,0
37,0,78,1,0,0.0,1,130.8,64,42.0,11.19,10.0,0,0.0034978844,4
38,0,136,0,1,2.84,3,203.9,106,79.4,9.38,10.5,0,0.021975774,7
39,0,149,1,0,0.0,1,140.4,94,47.0,13.59,11.1,0,0.0036776701,4
40,0,98,1,0,0.3,3,126.3,102,39.0,8.34,9.4,0,0.0020086763,3
41,1,135,0,1,3.94,0,173.1,85,86.4,10.2,14.6,1,0.9990901,9
42,0,34,1,0,0.0,2,124.8,82,46.0,14.11,10.0,0,0.0017853199,3
43,0,160,1,0,0.38,3,85.8,77,32.8,8.27,9.2,0,0.002485132,4
44,0,64,1,0,0.24,1,154.0,67,48.4,11.29,3.5,0,3.405481e-05,0
45,0,59,1,1,2.3,2,120.9,97,62.0,10.65,8.5,0,0.0013238644,2
46,0,65,1,0,0.0,3,211.3,120,50.0,8.13,13.2,0,0.00026683713,0
47,0,142,1,0,0.35,2,187.0,133,47.5,6.73,7.4,0,0.04601931,8
48,1,119,1,0,0.0,5,159.1,114,47.0,11.57,8.8,1,0.91429585,8
49,0,97,1,1,2.97,1,133.2,135,71.7,10.86,11.0,0,0.0011025943,2
50,0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8,0,0.0010302381,2
51,0,60,1,0,0.0,1,220.6,57,56.0,10.56,6.8,0,0.0028515605,4
52,0,10,1,0,0.0,2,186.1,112,48.0,9.51,11.4,0,0.0014286089,2
53,0,96,1,0,0.21,2,160.2,117,52.1,13.38,9.3,0,0.007647683,6
54,1,87,1,0,0.0,5,151.0,83,45.0,10.99,9.7,1,0.9039194,8
55,0,81,1,0,0.11,1,175.5,67,53.1,12.47,10.2,0,0.0062775277,5
56,0,141,1,0,0.0,1,126.9,98,37.0,9.0,8.0,0,0.018893596,7
57,1,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8,1,0.86766505,8
58,0,68,1,0,0.0,3,148.8,70,47.0,12.33,12.1,0,0.00024632958,0
59,0,125,1,0,0.0,1,229.3,103,55.0,8.87,12.0,0,0.019048672,7
60,0,174,1,0,0.0,1,192.1,97,48.0,8.5,11.4,0,0.008547066,6
61,0,116,1,1,3.13,2,268.6,83,92.3,8.91,11.6,0,0.0011743881,2
62,0,74,1,1,3.94,2,193.7,91,93.4,12.31,14.6,0,0.006220175,5
63,0,149,1,1,3.4,3,180.7,92,81.0,9.39,12.6,0,0.0027883998,4
64,0,38,1,0,0.0,2,131.2,98,37.0,8.15,8.2,0,0.0006320071,1
65,0,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2,0,0.0002942182,0
66,0,43,0,0,0.0,0,251.5,105,61.0,10.64,9.3,0,0.028680718,7
67,0,113,0,0,0.0,0,125.2,93,39.0,10.32,8.3,1,0.57401913,8
68,0,126,1,0,0.0,1,211.6,70,55.0,10.85,7.8,0,0.00022190735,0
69,1,150,1,0,0.0,4,178.9,101,45.0,8.46,13.8,1,0.9904322,9
70,0,138,1,0,0.0,3,241.8,93,56.0,8.53,11.8,0,0.007812584,6
71,0,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1,0,0.0013652842,2
72,0,147,1,0,0.0,3,248.6,83,55.0,7.45,8.0,0,0.013237587,6
73,0,90,1,0,0.0,1,203.4,146,54.0,11.34,7.3,0,0.002332405,4
74,0,85,1,0,0.0,0,235.8,109,54.0,7.86,12.0,0,0.0019318203,3
75,0,50,1,0,0.0,1,157.1,90,46.0,11.17,6.1,0,0.00013507131,0
76,1,82,1,0,0.21,0,300.3,109,69.1,9.05,11.7,1,0.9970215,9
77,1,144,1,0,0.21,4,61.6,117,20.1,3.86,8.2,1,0.99589217,9
78,0,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2,0,0.00014131767,0
79,0,70,1,0,0.3,1,170.2,98,46.0,7.76,15.0,0,0.00033992116,0
80,0,144,1,0,0.0,1,201.1,99,60.0,15.18,13.2,0,0.0077277133,6
81,0,116,0,0,0.3,3,215.4,104,58.0,10.24,12.6,0,0.029277451,7
82,0,55,1,1,2.97,3,165.6,123,69.7,6.81,11.0,0,0.01919824,7
83,0,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8,0,0.003838764,4
84,1,106,1,0,0.0,2,210.6,96,57.0,12.46,12.4,1,0.75916284,8
85,0,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6,0,0.0021787228,3
86,1,94,1,0,0.0,4,157.9,105,41.0,7.75,8.0,1,0.99432063,9
87,0,111,1,0,0.0,1,214.3,118,55.0,10.43,12.0,0,0.0035617794,4
88,0,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9,0,0.0002830793,0
89,1,128,1,0,0.0,1,237.9,125,62.0,12.38,13.9,1,0.9201856,8
90,0,82,1,0,0.17,1,143.9,61,43.7,9.75,11.1,0,0.00030631258,0
91,1,155,1,0,0.0,0,203.4,100,51.0,9.55,8.9,0,0.0017276905,3
92,0,80,1,0,0.0,1,124.3,100,36.0,8.65,7.9,0,0.014039389,7
93,0,78,1,0,0.0,3,252.9,93,59.0,8.92,9.5,0,0.0032592164,4
94,0,90,1,0,0.0,3,179.1,71,47.0,9.53,10.6,0,0.17397685,8
95,0,104,1,0,0.3,1,278.4,106,58.0,4.05,9.8,0,0.009615536,6
96,0,73,1,0,0.0,0,160.1,110,46.0,10.67,13.0,0,0.0007414109,1
97,0,99,1,0,0.0,4,198.2,87,52.0,10.37,8.7,0,0.005445591,5
98,1,120,1,0,0.0,1,212.1,131,54.0,10.47,5.3,0,0.008909493,6
99,1,77,1,0,0.0,2,251.8,72,61.0,10.29,9.8,0,0.03138686,7
100,0,98,1,1,1.19,4,161.2,114,60.9,12.61,4.4,0,0.03823928,7
101,0,108,1,0,0.34,0,178.3,137,50.4,9.45,14.6,0,0.0028189444,4
102,0,135,1,0,0.0,0,151.7,82,36.0,5.95,10.5,0,0.0010899719,2
103,0,95,1,0,0.0,1,135.0,99,39.0,9.18,12.5,0,0.01085692,6
104,0,122,1,0,0.39,1,170.5,94,47.9,8.69,11.3,0,0.0023786544,4
105,0,95,1,0,0.0,4,238.1,65,57.0,9.36,11.8,0,0.022807667,7
106,0,36,1,1,2.43,2,281.4,102,90.3,10.11,9.0,0,0.004680854,5
107,0,93,1,1,2.65,1,117.9,131,61.5,8.23,9.8,0,0.0022716313,3
108,0,141,1,1,2.73,1,148.6,91,64.3,6.56,10.1,0,0.00040469537,0
109,0,157,1,0,0.0,3,229.8,90,52.0,7.4,9.6,0,0.0010188052,2
110,0,120,1,0,0.0,1,165.0,100,56.0,15.86,8.3,0,0.03696246,7
111,0,103,1,0,0.0,2,185.0,117,51.0,11.17,12.6,0,0.00014326915,0
112,0,98,1,0,0.0,4,161.0,117,44.0,9.55,12.1,0,0.08280228,8
113,0,125,1,0,0.0,1,126.7,108,40.0,10.3,13.3,0,0.00933067,6
114,0,63,1,0,0.0,1,58.9,125,25.0,8.48,9.4,0,0.0011793291,2
115,1,36,0,1,5.4,0,196.8,89,110.0,12.75,20.0,1,0.9920035,9
116,0,64,1,0,0.29,1,162.6,83,43.9,7.62,14.2,0,0.0006417833,1
117,1,74,1,0,0.21,1,282.5,114,69.1,11.0,9.4,1,0.99806684,9
118,0,112,1,1,2.7,2,113.7,117,60.0,7.88,10.0,0,0.00071490055,1
119,0,97,1,0,0.0,2,239.8,125,60.0,10.74,8.7,0,0.0025654167,4
120,0,46,1,0,0.21,1,210.2,92,58.1,11.37,13.1,0,0.0004402068,1
121,0,41,1,1,1.94,0,213.8,102,68.4,7.09,7.2,0,0.00056934677,1
122,0,121,1,0,0.0,3,190.7,103,49.0,9.18,9.8,0,0.0056358315,5
123,0,193,1,0,0.0,1,170.9,124,41.0,6.62,11.6,0,0.009122926,6
124,0,130,1,0,0.0,2,154.2,119,36.0,5.51,9.2,0,0.0053538214,5
125,0,85,1,0,0.4,1,201.4,52,58.0,11.47,12.0,0,5.297789e-05,0
126,1,162,1,0,0.0,4,70.7,108,26.0,7.88,9.1,1,0.9973707,9
127,1,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4,1,0.98754543,9
128,0,92,1,0,0.0,2,91.7,90,33.0,9.69,9.2,0,0.01918725,7
129,0,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5,0,0.00058001623,1
130,0,90,1,0,0.0,3,145.5,92,44.0,10.89,10.9,0,0.0023693815,4
131,0,75,1,0,0.0,1,166.3,125,42.0,7.91,6.1,0,0.0010863402,2
132,0,78,1,0,0.0,1,231.0,115,59.0,11.52,9.5,0,0.0014754238,3
133,0,82,1,0,0.0,4,200.3,96,52.0,10.06,7.1,0,0.010090368,6
134,0,163,1,0,0.0,1,197.0,109,51.0,10.13,9.1,0,0.0004342855,1
135,0,91,0,0,0.31,3,129.9,112,40.1,8.67,11.2,0,0.018142533,7
136,0,75,1,1,1.43,5,175.8,97,63.3,10.88,5.3,0,0.0113176,6
137,0,91,1,0,0.0,3,203.1,106,53.0,10.51,12.0,0,0.0053289263,5
138,0,127,1,1,3.02,1,183.2,117,72.2,6.34,11.2,0,0.0011101327,2
139,0,113,1,1,2.75,2,205.0,101,75.5,7.6,10.2,0,0.0006331984,1
140,0,110,1,0,0.0,1,148.5,115,49.0,13.82,12.4,0,0.0022087481,3
141,0,120,1,1,2.84,0,200.3,68,81.4,11.02,10.5,0,0.00044479422,1
142,0,157,1,1,1.84,3,192.6,107,68.4,9.78,6.8,0,0.00096735085,2
143,0,103,1,0,0.0,1,246.5,47,59.0,9.78,11.7,0,0.010327505,6
144,1,117,0,0,0.0,2,167.1,86,44.0,8.88,14.1,1,0.9975726,9
145,0,140,1,0,0.0,3,231.9,101,54.0,8.01,14.3,0,0.0020212058,3
146,0,127,1,0,0.0,1,146.7,91,43.0,10.18,13.7,0,0.0034684003,4
147,0,83,0,0,0.26,1,271.5,87,67.6,10.82,11.7,0,0.038833275,7
148,0,121,1,0,0.0,1,181.5,121,50.0,10.92,8.5,0,0.00066620274,1
149,0,145,1,1,3.0,2,257.7,97,88.0,8.11,11.1,0,0.0013363557,2
150,0,113,1,0,0.0,1,193.8,99,52.0,11.07,10.6,0,0.02517567,7
151,0,117,1,0,0.0,1,102.8,119,36.0,10.34,10.1,0,0.0092538735,6
152,0,65,1,0,0.0,1,187.9,116,46.0,7.88,7.5,0,0.00027632382,0
153,0,56,1,0,0.0,1,226.0,112,60.0,12.43,6.9,0,0.0152992485,7
154,0,96,1,0,0.0,5,260.4,115,57.0,7.3,11.5,0,0.02734072,7
155,0,151,1,0,0.0,0,178.7,116,56.0,14.61,9.8,0,0.01779732,7
156,1,83,1,0,0.0,0,337.4,120,77.0,11.37,15.8,1,0.9958224,9
157,0,139,1,1,3.7,0,157.6,129,85.0,12.35,13.7,0,0.015496983,7
158,0,6,1,0,0.0,1,183.6,117,54.0,12.84,10.2,0,0.0040695504,5
159,0,115,1,1,2.59,1,142.1,124,65.9,9.17,9.6,0,0.00016013652,0
160,0,87,1,0,0.31,0,136.3,97,41.1,8.61,7.1,0,0.0002799282,0
161,0,141,1,0,0.0,0,217.1,110,58.0,12.08,12.0,0,0.008488486,6
162,0,141,1,1,2.84,3,187.5,99,81.4,12.07,10.5,0,0.0014814474,3
163,0,62,1,0,0.0,1,98.9,103,29.0,6.77,12.2,0,0.0012722883,2
164,0,146,1,0,0.0,1,206.3,151,48.0,7.43,6.1,0,0.0006037865,1
165,0,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1,0,0.00025812478,0
166,0,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5,0,0.0030419438,4
167,0,148,1,0,0.39,1,202.0,102,59.9,12.16,10.9,0,0.0012202674,2
168,0,94,1,1,3.46,1,170.1,124,80.6,9.67,12.8,0,0.0012536854,2
169,0,32,1,0,0.0,0,230.9,87,56.0,9.37,6.3,0,0.006829267,6
170,0,68,1,0,0.0,1,237.1,105,60.0,11.18,13.2,0,0.024183305,7
171,0,64,1,1,2.86,2,182.1,91,74.6,8.49,10.6,0,0.006584,6
172,0,25,1,0,0.14,3,119.3,87,40.4,10.58,10.5,0,0.0013045886,2
173,0,65,1,0,0.0,1,116.8,87,36.0,8.95,14.1,0,0.0032668563,4
174,0,179,1,0,0.0,0,219.2,92,50.0,7.47,6.1,0,0.0008151365,2
175,0,94,1,0,0.0,2,252.6,104,58.0,8.45,11.1,0,0.005088004,5
176,0,62,1,0,0.0,0,147.1,91,42.0,9.52,12.2,0,0.0014702512,3
177,0,127,1,0,0.0,2,202.1,103,54.0,11.47,11.5,0,0.0027413317,4
178,0,116,1,0,0.23,3,173.5,93,48.3,9.71,16.2,0,0.0079658795,6
179,0,70,1,0,0.0,3,232.1,122,65.0,14.62,0.0,0,0.09153936,8
180,0,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5,0,0.0024357245,4
181,1,126,1,0,0.0,5,58.2,94,22.0,6.94,11.9,1,0.99637055,9
182,0,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9,0,0.0011374961,2
183,0,19,1,0,0.14,2,186.1,98,55.4,12.72,14.6,0,0.003767498,4
184,0,170,0,0,0.0,3,259.9,68,66.0,12.25,8.4,0,0.08280563,8
185,0,73,1,0,0.0,1,214.3,145,60.0,13.43,10.8,0,0.05031607,8
186,0,106,1,0,0.0,1,158.7,74,33.0,3.22,10.2,0,0.00990581,6
187,0,93,1,0,0.19,2,271.6,71,67.9,11.47,10.9,0,0.095981956,8
188,0,164,1,0,0.27,1,160.6,111,44.7,8.16,9.0,0,0.0006370734,1
189,0,51,1,0,0.0,1,232.4,109,56.0,9.37,9.1,0,0.002710232,4
190,0,107,1,0,0.0,0,133.8,85,39.0,9.03,8.9,0,0.009613352,6
191,0,130,1,0,0.35,1,176.9,109,41.5,4.54,9.5,0,0.0007631698,1
192,0,80,1,0,0.0,2,209.9,74,53.0,9.76,8.8,0,0.0010614758,2
193,0,94,1,0,0.22,0,137.5,118,43.2,10.16,13.4,0,0.0004305973,1
194,0,118,1,1,2.57,1,289.5,52,89.7,8.33,9.5,0,0.0025258474,4
195,0,117,1,1,1.84,1,198.1,86,67.4,8.85,6.8,0,0.00086853816,2
196,0,78,1,0,0.0,0,149.7,119,41.0,9.11,9.7,0,0.0014948252,3
197,1,208,1,0,0.33,2,326.5,67,74.3,8.82,10.7,0,0.30597207,8
198,1,131,0,1,3.73,4,292.9,101,104.3,9.99,13.8,1,0.98314154,9
199,0,63,1,0,0.0,0,83.0,64,30.0,8.85,13.0,0,0.00073016336,1
200,0,53,1,1,3.54,3,145.7,146,79.4,11.03,13.1,0,0.0029170783,4
201,0,62,1,0,0.0,2,182.3,101,59.0,16.41,11.2,0,0.014829134,7
202,0,97,1,0,0.0,3,218.0,86,53.0,9.2,6.4,0,0.0115705,6
203,0,105,1,0,0.0,2,140.6,109,40.0,8.93,6.8,0,0.0006003979,1
204,0,157,1,0,0.0,1,152.7,105,48.0,12.88,9.4,0,0.04659623,8
205,0,66,1,1,3.27,1,106.7,76,68.7,10.49,12.1,0,0.019270012,7
206,0,122,1,0,0.0,2,243.8,98,49.0,4.2,13.7,0,0.005184575,5
207,0,38,1,0,0.0,3,194.4,94,49.0,9.34,10.8,0,0.011502048,6
208,0,106,1,0,0.0,3,213.9,95,50.0,7.6,12.2,0,0.00024854887,0
209,0,99,1,0,0.0,3,217.2,112,58.0,12.34,15.8,0,0.009973527,6
210,0,99,1,0,0.0,1,241.1,72,55.0,7.78,11.6,0,0.000966478,2
211,0,144,0,0,0.0,0,203.5,100,56.0,12.38,11.9,0,0.07598776,8
212,0,82,1,1,2.89,1,155.2,131,76.9,12.23,10.7,0,0.00043652454,1
213,0,86,1,1,3.29,1,167.6,139,71.9,5.65,12.2,0,0.008992114,6
214,1,70,0,0,0.0,2,226.7,98,58.0,11.41,17.6,1,0.98336536,9
215,0,93,1,0,0.0,3,179.3,93,46.0,8.93,11.5,0,0.007921684,6
216,0,93,1,0,0.31,0,151.4,89,45.1,9.32,10.9,0,0.0015230378,3
217,0,120,1,0,0.0,3,180.0,80,50.0,11.21,4.7,0,0.0018515385,3
218,1,136,1,0,0.0,1,250.2,121,66.0,13.36,13.0,1,0.9608256,9
219,0,106,1,0,0.4,0,223.0,121,52.0,5.51,7.1,0,0.0038143601,4
220,0,81,1,0,0.0,3,183.6,116,45.0,7.63,12.2,0,0.00021761889,0
221,0,127,1,1,2.75,1,166.0,114,71.5,8.73,10.2,0,0.0013531903,2
222,0,65,1,0,0.0,1,136.1,112,47.0,13.65,4.4,0,0.00033383272,0
223,0,35,1,0,0.32,2,149.3,113,49.2,12.11,8.9,0,0.00024133771,0
224,0,88,1,0,0.0,2,65.4,97,26.0,8.41,13.8,0,0.0019580761,3
225,0,65,1,0,0.0,1,213.4,111,57.0,11.73,2.7,0,0.00017852664,0
226,0,123,1,0,0.0,3,206.9,85,56.0,12.24,7.7,0,0.002052535,3
227,0,126,1,1,2.59,2,186.2,78,73.9,9.48,9.6,0,0.0024395671,4
228,0,104,1,1,3.59,4,280.2,136,102.9,11.03,13.3,0,0.0138660865,7
229,0,45,1,1,3.21,0,196.6,84,93.1,15.66,11.9,0,0.0005077849,1
230,1,93,0,0,0.0,0,312.0,109,65.0,6.47,10.5,1,0.96994567,9
231,0,63,0,1,2.97,1,199.0,110,88.7,14.57,11.0,0,0.23961373,8
232,0,100,1,0,0.25,3,203.1,96,55.5,10.85,13.5,0,0.0038048972,4
233,0,53,1,0,0.0,0,168.8,97,48.0,11.02,10.9,0,0.0017927387,3
234,0,92,0,0,0.0,1,173.1,140,50.0,12.02,9.0,0,0.0014587104,3
235,1,139,1,0,0.0,5,134.4,106,41.0,10.57,10.2,1,0.99891174,9
236,0,110,1,1,2.43,2,202.6,103,69.3,5.94,9.0,0,0.0010639324,2
237,0,110,1,0,0.31,3,74.5,117,33.1,10.04,9.8,0,0.00062887004,1
238,0,215,1,0,0.31,0,83.6,148,28.1,6.05,10.7,0,0.0018600435,3
239,0,73,1,0,0.0,1,192.2,86,47.0,8.43,9.4,0,0.011560672,6
240,0,138,1,0,0.0,0,220.2,89,45.0,4.42,12.9,0,0.0002732432,0
241,1,137,0,0,0.0,2,135.1,95,35.0,6.71,12.3,0,0.30740273,8
242,0,36,1,0,0.25,1,253.4,77,61.5,9.12,8.4,0,0.019134777,7
243,0,85,1,0,0.0,3,225.0,81,54.0,8.85,7.1,0,0.0064178477,6
244,1,108,1,0,0.0,0,198.5,99,57.0,13.39,9.4,1,0.7960367,8
245,0,22,1,0,0.0,0,110.3,107,33.0,8.33,9.5,0,0.00022984964,0
246,0,107,1,1,3.0,0,60.0,102,49.0,5.11,11.1,0,0.00015859205,0
247,0,51,1,0,0.0,0,214.8,94,50.0,7.49,10.2,0,0.00092029653,2
248,0,94,1,0,0.0,4,181.8,85,49.0,10.12,9.2,0,0.031111551,7
249,0,119,1,1,3.19,2,154.0,114,81.9,13.9,11.8,0,0.0050462205,5
250,1,33,1,1,3.75,4,157.4,99,74.5,5.9,13.9,1,0.9311783,9
251,0,106,1,0,0.0,4,207.9,91,50.0,8.6,14.4,0,0.0032712999,4
252,0,82,1,0,0.0,3,207.0,90,55.0,11.65,9.1,0,0.0020089822,3
253,0,86,1,1,2.57,0,119.0,101,65.7,11.5,9.5,0,0.00021623539,0
254,0,97,0,0,0.28,0,143.7,117,50.8,13.65,10.9,0,0.02150351,7
255,0,106,1,1,3.81,4,165.9,126,85.1,10.83,14.1,0,0.035806403,7
256,0,108,1,0,0.0,1,138.6,122,39.0,8.62,9.8,0,0.0006784145,1
257,0,114,1,0,0.29,1,84.7,118,38.9,12.5,14.5,0,0.0020713934,3
258,1,92,0,0,0.0,1,62.6,111,26.0,9.03,10.4,0,0.04132754,8
259,0,59,1,0,0.0,1,155.2,79,47.0,11.77,8.7,0,0.00031749698,0
260,0,24,1,1,1.81,1,164.9,110,64.1,10.47,6.7,0,0.0009656229,2
261,0,151,1,0,0.0,1,134.5,88,36.0,7.16,15.4,0,0.0039322125,5
262,0,117,1,0,0.0,1,143.3,103,43.0,10.57,11.5,0,0.001703817,3
263,0,78,1,0,0.51,1,168.3,110,53.1,11.06,12.5,0,0.0037586512,4
264,0,155,1,0,0.0,2,262.4,55,62.0,9.73,8.3,0,0.039509997,8
265,0,114,1,1,3.08,1,206.2,79,88.8,13.0,11.4,0,0.002343645,4
266,0,114,1,1,2.27,4,225.8,94,77.7,9.65,8.4,0,0.002251243,3
267,0,119,1,0,0.0,3,138.3,89,38.0,8.53,13.5,0,0.017228182,7
268,0,64,1,1,1.22,0,94.4,104,40.2,6.81,4.5,0,0.003403853,4
269,0,118,0,0,0.0,2,160.0,123,43.0,8.77,9.9,0,0.070316985,8
270,0,101,1,0,0.0,0,206.6,105,55.0,11.25,14.6,0,0.0028413907,4
271,0,117,1,0,0.0,1,134.7,121,39.0,9.0,7.7,0,0.0007561237,1
272,0,49,1,1,2.16,3,214.4,78,78.6,11.76,8.0,0,0.0047745495,5
273,0,139,1,0,0.0,3,192.8,104,53.0,11.72,13.0,0,0.0010608146,2
274,0,92,1,1,2.7,1,151.1,90,70.0,9.74,10.0,0,0.00030147884,0
275,0,83,1,0,0.0,3,221.4,103,58.0,11.59,9.8,0,0.0013965153,2
276,0,148,0,0,0.0,0,218.9,88,55.0,10.4,11.1,0,0.025768433,7
277,1,144,1,1,1.76,2,189.8,96,60.6,6.17,6.5,0,0.0025251843,4
278,0,131,1,1,2.94,2,192.7,85,81.4,11.3,10.9,0,0.003115225,4
279,0,146,0,0,0.0,3,204.4,135,54.0,10.96,10.5,0,0.022381984,7
280,0,143,1,0,0.42,2,172.3,97,49.2,8.7,13.0,0,0.0010599975,2
281,0,81,1,0,0.13,2,198.4,93,53.3,10.55,10.4,0,0.009147433,6
282,0,48,1,1,3.29,1,211.7,115,82.9,8.0,12.2,0,0.00016011883,0
283,0,86,1,1,2.43,1,221.6,74,87.3,14.42,9.0,0,0.0023421329,4
284,0,71,1,0,0.0,3,197.9,108,50.0,9.08,6.7,0,0.006071005,5
285,0,145,1,1,4.21,2,147.5,90,83.1,8.79,15.6,0,0.010900194,6
286,0,137,1,0,0.0,2,206.4,122,46.0,6.4,8.8,0,0.0006496456,1
287,0,137,1,0,0.27,2,205.9,88,55.7,10.47,14.5,0,0.0036083127,4
288,0,167,1,0,0.0,0,207.6,88,47.0,6.62,14.1,0,0.0006273187,1
289,1,89,1,0,0.0,1,303.9,95,74.0,13.05,5.3,1,0.98936045,9
290,0,199,1,1,2.16,0,230.6,121,79.6,10.97,8.0,0,0.0002545677,0
291,0,132,1,0,0.0,0,99.5,110,28.0,6.46,9.7,0,0.00033975317,0
292,0,94,1,0,0.0,1,177.1,112,47.0,9.7,5.9,0,0.00064364506,1
293,1,96,1,1,2.78,5,172.7,93,67.8,6.01,10.3,1,0.991542,9
294,0,96,1,1,2.65,1,172.7,86,67.5,6.67,9.8,0,0.0034263688,4
295,0,166,1,0,0.29,1,204.2,115,52.9,9.0,9.5,0,0.000670172,1
296,0,74,1,0,0.2,2,85.7,83,38.0,12.39,10.1,0,0.08556454,8
297,0,36,1,0,0.34,0,157.6,117,46.4,9.22,11.9,0,0.0006674385,1
298,0,113,1,0,0.0,4,215.5,129,56.0,10.94,6.6,0,0.0073742676,6
299,0,94,1,0,0.0,1,181.5,98,48.0,10.0,6.6,0,0.0039243908,5
300,0,67,1,0,0.0,2,171.7,80,39.0,5.52,11.9,0,0.00066661055,1
301,1,127,1,0,0.26,1,266.6,106,70.6,13.24,5.9,1,0.9987208,9
302,1,121,1,0,0.0,0,170.4,108,59.0,17.53,11.2,1,0.8786714,8
303,0,158,1,0,0.0,1,158.0,106,52.0,14.63,9.1,0,0.033367403,7
304,0,136,1,0,0.34,1,92.0,117,41.4,12.68,10.3,0,0.0079875225,6
305,0,196,1,0,0.0,2,234.0,109,61.0,12.48,9.1,0,0.11181244,8
306,1,113,1,0,0.0,1,272.1,111,70.0,13.43,8.5,1,0.99932826,9
307,1,122,1,0,0.0,4,296.4,99,69.0,10.74,11.4,1,0.9886812,9
308,0,112,1,0,0.29,0,194.4,101,52.9,9.52,11.4,0,0.0006967972,1
309,0,209,1,0,0.0,3,227.2,128,61.0,12.92,8.9,0,0.21110983,8
